Date,Price,Open,High,Low,Change %
Mar 01 2020,6.8791,6.8925,6.9563,6.7489,-0.06%
Feb 23 2020,6.8835,6.6112,6.9170,6.5857,4.11%
Feb 16 2020,6.6117,6.5602,6.6425,6.5304,0.88%
Feb 09 2020,6.5539,6.5879,6.6071,6.5341,-0.45%
Feb 02 2020,6.5837,6.6363,6.6377,6.5449,-0.80%
Jan 26 2020,6.6367,6.5450,6.6402,6.5259,1.36%
Jan 19 2020,6.5479,6.5340,6.5964,6.5210,0.23%
Jan 12 2020,6.5329,6.5387,6.5757,6.4985,-0.07%
Jan 05 2020,6.5372,6.6699,6.6980,6.5009,-1.94%
Dec 29 2019,6.6662,6.6483,6.6890,6.6380,0.24%
Dec 22 2019,6.6502,6.5781,6.6662,6.5531,1.05%
Dec 15 2019,6.5808,6.4599,6.6182,6.4542,1.88%
Dec 08 2019,6.4593,6.3854,6.4983,6.3800,1.11%
Dec 01 2019,6.3883,6.3297,6.4077,6.3101,0.90%
Nov 24 2019,6.3315,6.2975,6.3713,6.2798,0.53%
Nov 17 2019,6.2983,6.3498,6.3643,6.2819,-0.81%
Nov 10 2019,6.3498,6.3567,6.3918,6.3030,-0.08%
Nov 03 2019,6.3551,6.3690,6.3995,6.3229,-0.38%
Oct 27 2019,6.3791,6.4136,6.4299,6.3480,-0.30%
Oct 20 2019,6.3985,6.4539,6.5409,6.3640,-1.11%
Oct 13 2019,6.4702,6.4985,6.6001,6.3868,-0.44%
Oct 06 2019,6.4985,6.2535,6.5159,6.2514,3.92%
Sep 29 2019,6.2533,6.2037,6.2827,6.1364,0.81%
Sep 22 2019,6.2032,6.3269,6.3300,6.1650,-1.98%
Sep 15 2019,6.3286,6.2976,6.3587,6.2439,0.50%
Sep 08 2019,6.2973,6.3011,6.3994,6.1848,-0.10%
Sep 01 2019,6.3037,6.4089,6.4203,6.1973,-1.63%
Aug 25 2019,6.4084,6.4206,6.5125,6.3870,-0.17%
Aug 18 2019,6.4191,6.1868,6.4343,6.1608,3.76%
Aug 11 2019,6.1866,6.1524,6.3247,6.1178,0.58%
Aug 04 2019,6.1507,6.1729,6.2905,6.0924,-0.41%
Jul 28 2019,6.1762,6.3116,6.3139,6.1316,-2.14%
Jul 21 2019,6.3110,6.3427,6.4249,6.2373,-0.55%
Jul 14 2019,6.3461,6.4469,6.4648,6.3004,-1.57%
Jul 07 2019,6.4470,6.3308,6.5178,6.3274,2.04%
Jun 30 2019,6.3183,6.5824,6.5847,6.2843,-4.06%
Jun 23 2019,6.5856,6.6180,6.6493,6.4915,-0.49%
Jun 16 2019,6.6178,6.6192,6.6490,6.4544,0.04%
Jun 09 2019,6.6150,6.6027,6.6971,6.5005,0.10%
Jun 02 2019,6.6083,6.5222,6.6231,6.3920,1.19%
May 26 2019,6.5309,6.8107,6.8407,6.4765,-4.17%
May 19 2019,6.8152,6.7576,6.8591,6.6883,0.86%
May 12 2019,6.7571,6.7258,6.8889,6.6854,0.49%
May 05 2019,6.7242,6.6913,7.0307,6.6686,0.63%
Apr 28 2019,6.6818,6.6349,6.7192,6.6045,0.93%
Apr 21 2019,6.6205,6.5348,6.6517,6.5254,1.28%
Apr 14 2019,6.5367,6.5195,6.5872,6.4306,0.25%
Apr 07 2019,6.5207,6.3116,6.5903,6.3011,3.33%
Mar 31 2019,6.3103,6.2276,6.4112,6.0674,1.25%
Mar 24 2019,6.2321,6.5359,6.5389,5.9482,-4.41%
Mar 17 2019,6.5199,6.1672,6.6052,6.1600,5.69%
Mar 10 2019,6.1687,6.1131,6.2075,6.0942,1.06%
Mar 03 2019,6.1039,6.1204,6.1761,6.0595,-0.16%
Feb 24 2019,6.1139,6.0313,6.1562,6.0030,1.34%
Feb 17 2019,6.0332,5.9554,6.0621,5.9481,1.34%
Feb 10 2019,5.9535,5.9428,5.9995,5.9078,0.13%
Feb 03 2019,5.9455,5.9591,6.0098,5.9085,-0.36%
Jan 27 2019,5.9668,5.8299,6.1338,5.8258,-0.72%
Jan 20 2019,6.0101,6.0575,6.0973,5.9358,-0.73%
Jan 13 2019,6.0545,6.2551,6.3602,6.0391,-3.23%
Jan 06 2019,6.2564,6.0799,6.3632,6.0648,2.99%
Dec 30 2018,6.0748,6.0339,6.6257,6.0038,0.69%
Dec 23 2018,6.0334,6.0442,6.0942,5.9771,-0.24%
Dec 16 2018,6.0480,6.0652,6.1167,5.9413,-0.30%
Dec 09 2018,6.0659,6.0462,6.1528,6.0091,0.54%
Dec 02 2018,6.0336,5.8983,6.2107,5.8362,2.27%
Nov 25 2018,5.8994,5.9976,6.0138,5.8206,-1.62%
Nov 18 2018,5.9968,6.0919,6.1960,5.9634,-1.51%
Nov 11 2018,6.0889,6.1879,6.2242,6.0060,-1.64%
Nov 04 2018,6.1902,6.1860,6.2847,6.0427,0.12%
Oct 28 2018,6.1827,6.3803,6.4169,6.1580,-3.08%
Oct 21 2018,6.3793,6.4922,6.7328,6.3311,-1.81%
Oct 14 2018,6.4971,6.7853,6.8190,6.3409,-4.31%
Oct 07 2018,6.7900,7.0649,7.1190,6.7211,-3.93%
Sep 30 2018,7.0680,7.0322,7.1614,6.8215,0.53%
Sep 23 2018,7.0304,7.3307,7.4303,6.8915,-4.93%
Sep 16 2018,7.3951,7.1714,7.5522,7.1347,3.05%
Sep 09 2018,7.1764,7.3539,7.6123,6.9614,-3.07%
Sep 02 2018,7.4039,7.5946,7.8151,7.3418,-2.40%
Aug 26 2018,7.5861,7.0081,8.0025,6.9516,8.67%
Aug 19 2018,6.9811,6.8904,7.1163,6.8030,1.50%
Aug 12 2018,6.8782,7.3214,8.2113,6.4536,-6.22%
Aug 05 2018,7.3344,5.8778,7.7665,5.8762,24.78%
Jul 29 2018,5.8780,5.6486,5.9273,5.6420,3.90%
Jul 22 2018,5.6573,5.6246,5.7807,5.5264,0.72%
Jul 15 2018,5.6170,5.6533,5.7034,5.5395,-1.00%
Jul 08 2018,5.6735,5.3652,5.8048,5.3025,5.67%
Jul 01 2018,5.3689,5.3477,5.5075,5.3389,0.16%
Jun 24 2018,5.3601,5.4317,5.5159,5.2768,-1.69%
Jun 17 2018,5.4523,5.4883,5.5211,5.4169,-0.71%
