"Date","Price","Open","High","Low","Change %"
"Mar 22, 2020","7.8727","7.6290","7.8928","7.5089","3.20%"
"Mar 15, 2020","7.6287","7.7792","7.9118","7.4243","-1.88%"
"Mar 08, 2020","7.7752","7.9480","8.1107","7.7577","-2.20%"
"Mar 01, 2020","7.9497","8.0068","8.0273","7.7299","-0.68%"
"Feb 23, 2020","8.0038","7.9023","8.0846","7.8494","1.21%"
"Feb 16, 2020","7.9079","7.8907","7.9375","7.8132","0.17%"
"Feb 09, 2020","7.8947","7.7592","7.9193","7.6927","1.80%"
"Feb 02, 2020","7.7552","7.9042","7.9042","7.7249","-1.80%"
"Jan 26, 2020","7.8971","7.7654","7.9050","7.7090","1.68%"
"Jan 19, 2020","7.7669","7.6595","7.8267","7.6386","1.34%"
"Jan 12, 2020","7.6639","7.6737","7.7012","7.5850","-0.17%"
"Jan 05, 2020","7.6768","7.8087","7.8815","7.6288","-1.78%"
"Dec 29, 2019","7.8161","7.7743","7.9045","7.7734","0.45%"
"Dec 22, 2019","7.7814","7.7131","7.8155","7.6607","0.74%"
"Dec 15, 2019","7.7242","7.7458","7.8427","7.6834","-0.21%"
"Dec 08, 2019","7.7403","7.5876","7.8202","7.5489","2.00%"
"Dec 01, 2019","7.5888","7.4239","7.6081","7.3982","2.09%"
"Nov 24, 2019","7.4332","7.3399","7.4851","7.3182","1.40%"
"Nov 17, 2019","7.3309","7.4140","7.4469","7.3161","-1.09%"
"Nov 10, 2019","7.4120","7.3689","7.4527","7.3559","0.63%"
"Nov 03, 2019","7.3656","7.3849","7.4344","7.3304","-0.32%"
"Oct 27, 2019","7.3893","7.4226","7.4532","7.3482","-0.21%"
"Oct 20, 2019","7.4051","7.4867","7.6159","7.3689","-1.44%"
"Oct 13, 2019","7.5136","7.4287","7.6354","7.3914","0.93%"
"Oct 06, 2019","7.4440","7.0231","7.4736","7.0009","5.96%"
"Sep 29, 2019","7.0252","6.9692","7.0739","6.9280","0.81%"
"Sep 22, 2019","6.9688","7.1615","7.1715","6.9410","-2.78%"
"Sep 15, 2019","7.1678","7.1088","7.1949","7.0451","0.83%"
"Sep 08, 2019","7.1085","7.0315","7.1603","6.9548","1.26%"
"Sep 01, 2019","7.0198","7.0847","7.1068","6.8543","-0.97%"
"Aug 25, 2019","7.0888","7.0598","7.1973","7.0553","0.23%"
"Aug 18, 2019","7.0723","6.7771","7.0921","6.7475","4.34%"
"Aug 11, 2019","6.7782","6.6091","6.8167","6.5934","2.59%"
"Aug 04, 2019","6.6071","6.7517","6.8253","6.5873","-2.23%"
"Jul 28, 2019","6.7580","7.0254","7.0264","6.6970","-3.78%"
"Jul 21, 2019","7.0232","7.0729","7.2073","6.9588","-0.66%"
"Jul 14, 2019","7.0697","7.1925","7.2118","7.0046","-1.71%"
"Jul 07, 2019","7.1929","7.0595","7.2741","7.0574","2.04%"
"Jun 30, 2019","7.0492","7.3479","7.3584","7.0023","-4.13%"
"Jun 23, 2019","7.3530","7.4113","7.4412","7.2722","-0.87%"
"Jun 16, 2019","7.4177","7.4360","7.4646","7.2630","-0.18%"
"Jun 09, 2019","7.4311","7.4090","7.5168","7.2912","0.06%"
"Jun 02, 2019","7.4264","7.3742","7.4611","7.2036","0.64%"
"May 26, 2019","7.3789","7.7427","7.7650","7.3058","-4.58%"
"May 19, 2019","7.7330","7.7029","7.7722","7.6281","0.39%"
"May 12, 2019","7.7028","7.7783","7.9847","7.6691","-1.00%"
"May 05, 2019","7.7805","7.8326","8.1483","7.7641","-0.98%"
"Apr 28, 2019","7.8577","7.6901","7.8810","7.6503","2.42%"
"Apr 21, 2019","7.6719","7.5526","7.7058","7.5273","1.57%"
"Apr 14, 2019","7.5531","7.5449","7.6311","7.4264","0.06%"
"Apr 07, 2019","7.5483","7.3343","7.6184","7.3235","2.91%"
"Mar 31, 2019","7.3351","7.2378","7.4638","7.1006","1.31%"
"Mar 24, 2019","7.2405","7.6280","7.6479","6.9654","-4.90%"
"Mar 17, 2019","7.6134","7.2373","7.7229","7.1156","5.14%"
"Mar 10, 2019","7.2411","7.0819","7.3112","7.0365","2.44%"
"Mar 03, 2019","7.0688","7.1022","7.1968","7.0452","-0.38%"
"Feb 24, 2019","7.0961","6.9545","7.1589","6.9100","2.21%"
"Feb 17, 2019","6.9426","6.8012","6.9736","6.7972","2.17%"
"Feb 10, 2019","6.7949","6.7938","6.8296","6.7112","0.01%"
"Feb 03, 2019","6.7943","6.8082","6.8637","6.7172","-0.27%"
"Jan 27, 2019","6.8125","6.7443","7.0484","6.7335","-2.04%"
"Jan 20, 2019","6.9546","6.8651","6.9649","6.8361","1.38%"
"Jan 13, 2019","6.8601","7.0065","7.1217","6.8358","-2.14%"
"Jan 06, 2019","7.0099","6.7912","7.0667","6.7694","3.31%"
"Dec 30, 2018","6.7854","6.6867","7.2740","6.6676","1.27%"
"Dec 23, 2018","6.7000","6.7254","6.7785","6.6337","-0.26%"
"Dec 16, 2018","6.7176","6.7450","6.8053","6.5808","-0.47%"
"Dec 09, 2018","6.7495","6.7503","6.8336","6.6661","-0.00%"
"Dec 02, 2018","6.7498","6.6565","6.9522","6.5649","1.50%"
"Nov 25, 2018","6.6502","6.7968","6.8029","6.5400","-1.85%"
"Nov 18, 2018","6.7754","6.8391","6.9723","6.7367","-1.02%"
"Nov 11, 2018","6.8454","7.0769","7.1712","6.7669","-3.40%"
"Nov 04, 2018","7.0860","7.0735","7.2143","6.9090","0.60%"
"Oct 28, 2018","7.0435","7.1749","7.2736","6.9326","-1.87%"
"Oct 21, 2018","7.1776","7.3743","7.6280","7.1377","-2.68%"
"Oct 14, 2018","7.3755","7.7173","7.7351","7.2222","-4.52%"
"Oct 07, 2018","7.7250","8.0392","8.0997","7.6606","-4.03%"
"Sep 30, 2018","8.0490","7.8940","8.0991","7.6640","2.00%"
"Sep 23, 2018","7.8913","8.1582","8.2765","7.7575","-4.12%"
"Sep 16, 2018","8.2305","8.0788","8.4936","8.0218","2.08%"
"Sep 09, 2018","8.0625","8.2293","8.5550","7.8155","-2.64%"
"Sep 02, 2018","8.2815","8.4734","8.7004","8.2077","-2.29%"
"Aug 26, 2018","8.4756","7.7366","8.9108","7.6838","9.78%"
"Aug 19, 2018","7.7206","7.6720","7.9143","7.5877","0.67%"
