"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"22.03.2020","89.730,86","85.795,79","91.959,49","82.531,13","2,64B","4,59%"
"15.03.2020","85.795,79","92.263,97","92.263,97","81.936,40","8,51B","-10,26%"
"08.03.2020","95.605,22","106.539,89","106.857,20","91.644,28","9,26B","-12,77%"
"01.03.2020","109.600,53","108.379,28","113.106,57","106.425,26","8,79B","3,40%"
"23.02.2020","105.993,65","114.984,40","115.991,78","99.331,99","11,09B","-9,27%"
"16.02.2020","116.829,39","120.981,96","121.242,40","114.453,40","12,45B","-2,76%"
"09.02.2020","120.151,44","120.459,39","121.580,54","116.647,79","13,00B","-0,71%"
"02.02.2020","121.015,14","119.436,50","123.844,96","118.761,62","12,36B","1,57%"
"26.01.2020","119.140,08","120.711,70","121.673,64","118.255,89","11,71B","-2,46%"
"19.01.2020","122.141,75","121.879,47","124.536,63","120.761,35","12,22B","0,55%"
"12.01.2020","121.474,75","119.595,16","122.482,43","119.574,71","14,13B","2,37%"
"05.01.2020","118.663,70","112.532,38","119.140,15","110.745,62","12,86B","4,38%"
"29.12.2019","113.684,01","114.057,03","115.932,05","112.617,20","10,21B","0,00%"
"22.12.2019","113.683,61","111.479,29","114.534,75","111.266,18","12,25B","2,25%"
"15.12.2019","111.176,75","110.673,98","111.955,68","110.105,80","10,90B","0,63%"
"08.12.2019","110.476,59","108.896,49","111.910,40","107.464,85","10,62B","1,48%"
"01.12.2019","108.869,14","107.350,11","109.315,16","106.701,59","11,07B","1,84%"
"24.11.2019","106.903,68","107.193,15","107.845,98","104.718,29","9,22B","0,30%"
"17.11.2019","106.588,41","105.902,43","108.142,19","105.902,43","9,48B","1,15%"
"10.11.2019","105.379,71","102.921,71","105.517,87","102.368,94","8,30B","2,16%"
"03.11.2019","103.153,20","99.267,44","104.017,78","99.143,94","7,92B","4,76%"
"27.10.2019","98.462,73","100.385,44","100.542,47","97.678,55","4,44B","-1,75%"
"20.10.2019","100.215,95","98.526,43","101.238,80","97.171,93","7,13B","1,83%"
"13.10.2019","98.415,34","97.979,58","98.730,64","93.031,92","6,59B","-0,62%"
